State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,prcp,tmax
SC,2015.0,296.3157894736842,258.63157894736844,37.473684210526315,0.21052631578947367,0.0,0.0,0.0,84.36842105263158,51.05263157894737,35.89473684210526,0.0,1.631578947368421,193.57894736842104,0.631578947368421,83.73684210526316,16.736842105263158,49.51299684800851,237.25783783783783
SD,2015.0,338.7,293.9,43.1,1.6,0.1,0.0,0.0,120.4,50.8,33.3,0.0,3.7,162.1,0.0,144.7,28.2,22.523075136038315,153.37714732928976
TN,2015.0,264.375,216.16666666666666,46.708333333333336,1.5,0.0,0.0,0.0,91.375,56.25,36.333333333333336,0.16666666666666666,3.9166666666666665,150.91666666666666,12.583333333333334,80.25,16.541666666666668,44.03717280773335,207.75720905799142
TX,2015.0,349.8536585365854,273.8536585365854,70.04878048780488,5.195121951219512,0.7317073170731707,0.024390243902439025,0.0,122.36585365853658,62.5609756097561,37.19512195121951,0.024390243902439025,4.414634146341464,218.8048780487805,1.4878048780487805,124.60975609756098,0.5121951219512195,40.069770967440995,253.56869806094184
UT,2015.0,341.42857142857144,250.57142857142858,84.85714285714286,5.714285714285714,0.2857142857142857,0.0,0.0,126.5,65.28571428571429,40.42857142857143,0.0,12.357142857142858,265.57142857142856,0.0,61.5,2.0,14.548017764390782,149.6277766437174
VA,2015.0,261.0,228.14285714285714,32.34285714285714,0.5142857142857142,0.0,0.0,0.0,79.91428571428571,47.77142857142857,32.25714285714286,1.1428571428571428,35.05714285714286,141.25714285714287,0.9714285714285714,73.65714285714286,8.914285714285715,37.12168636492196,197.2870897155361
VT,2015.0,301.75,256.0,45.0,0.75,0.0,0.0,0.0,95.0,50.75,29.0,0.0,14.75,140.5,0.0,146.5,0.0,31.935399913243685,124.5589361553993
WA,2015.0,345.82758620689657,292.7586206896552,48.13793103448276,3.6206896551724137,1.0344827586206897,0.06896551724137931,0.20689655172413793,152.6551724137931,53.51724137931034,27.17241379310345,0.0,2.689655172413793,47.44827586206897,0.0,290.2068965517241,5.482758620689655,33.77207455749497,150.8412297045515
WI,2015.0,291.7857142857143,245.85714285714286,42.67857142857143,3.1785714285714284,0.07142857142857142,0.0,0.0,110.39285714285714,59.42857142857143,36.32142857142857,0.0,0.7142857142857143,191.42857142857142,14.535714285714286,84.85714285714286,0.25,27.83567453585528,130.34482602460562
WV,2015.0,280.46666666666664,234.06666666666666,45.2,1.1333333333333333,0.06666666666666667,0.0,0.0,100.6,55.733333333333334,34.46666666666667,0.13333333333333333,0.0,145.53333333333333,40.46666666666667,81.2,13.133333333333333,34.28239978034047,177.401099857297
WY,2015.0,309.42105263157896,262.57894736842104,45.68421052631579,0.9473684210526315,0.21052631578947367,0.0,0.0,110.26315789473684,51.36842105263158,34.78947368421053,0.05263157894736842,1.5789473684210527,235.89473684210526,0.5263157894736842,29.31578947368421,42.05263157894737,13.935260745062715,129.4573687977379
